TagID,TagType,FishID,CaptureDate,PITIDNo,AcousticSerialNo,AcousticTagFamily,AcousticCodeSpace,AcousticIDCode,Frequency,RadioCode,RadioCodeStruct,RadioBurstRate,VisualType,VisualIDNo,EstTagLife,DeathDate,SalesOrder,Customer,SensorType,CodeSpace,IDCode
1194443,Acoustic,SNS-2009-134,7/9/2015 0:00,3D9.257C661983,1194443,V16-4x,A69-9001,24577,69,,,,,,2435,00:00.0,17577,,NA,,
1194444,Acoustic,SNS-2009-053,10/3/2014 0:00,3D9.257C65B0A4,1194444,V16-4x,A69-9001,24578,69,,,,,,2435,00:00.0,17577,,NA,,
1194445,Acoustic,SNS-2014-029,10/26/2014 0:00,3D9.1BF18857AC,1194445,V16-4x,A69-9001,24579,69,,,,,,2435,00:00.0,17577,,NA,,
1194446,Acoustic,SNS-2015-019,7/9/2015 0:00,3D9.1BF1885A15,1194446,V16-4x,A69-9001,24580,69,,,,,,2435,00:00.0,17577,,NA,,
1194447,Acoustic,SNS-2015-025,7/21/2015 0:00,3D9.1BF1886059,1194447,V16-4x,A69-9001,24581,69,,,,,,2435,00:00.0,17577,,NA,,
1194448,Acoustic,SNS-2010-050,10/3/2014 0:00,3D9.1C2CABA90F,1194448,V16-4x,A69-9001,24582,69,,,,,,2435,00:00.0,17577,,NA,,
1194449,Acoustic,SNS-2009-059,9/17/2014 0:00,3D9.257C64CE56,1194449,V16-4x,A69-9001,24583,69,,,,,,2435,00:00.0,17577,,NA,,
1221719,Acoustic,SNS-2015-038,8/7/2015 0:00,3D9.1BF1885B77,1221719,V16-4x,A69-9001,21252,69,,,,,,2435,00:00.0,19537,,NA,,
1221720,Acoustic,SNS-2015-043,8/20/2015 0:00,3D9.1BF188950C,1221720,V16-4x,A69-9001,21253,69,,,,,,2435,00:00.0,19537,,NA,,
1221721,Acoustic,SNS-2011-040,9/3/2015 0:00,3D9.1C2D8D20D0,1221721,V16-4x,A69-9001,21254,69,,,,,,2435,00:00.0,19537,,NA,,
1221722,Acoustic,SNS-2009-084,10/9/2015 0:00,3D9.257C65D89E,1221722,V16-4x,A69-9001,21255,69,,,,,,2435,00:00.0,19537,,NA,,
1221723,Acoustic,SNS-2015-048,9/3/2015 0:00,3D9.1BF188646D,1221723,V16-4x,A69-9001,21256,69,,,,,,2435,00:00.0,19537,,NA,,
1221724,Acoustic,SNS-2015-034,8/7/2015 0:00,3D9.1BF18894AE,1221724,V16-4x,A69-9001,21257,69,,,,,,2435,00:00.0,19537,,NA,,
1221725,Acoustic,SNS-2015-088,9/23/2015 0:00,3D9.1BF1887F67,1221725,V16-4x,A69-9001,21258,69,,,,,,2435,00:00.0,19537,,NA,,
1221726,Acoustic,SNS-2015-084,9/18/2015 0:00,3D9.1BF18870AF,1221726,V16-4x,A69-9001,21259,69,,,,,,2435,00:00.0,19537,,NA,,
1221727,Acoustic,SNS-2012-070,9/16/2015 0:00,3D9.1C2D6C36EE,1221727,V16-4x,A69-9001,21260,69,,,,,,2435,00:00.0,19537,,NA,,
