"","FishID","Species","TagID","TagType","Origin","FishIDs","ProjectID","ReleaseSite","CaptureDate","CaptureLocation","Easting","Northing","ForkLength","TotalLength","LengthUnit","Mass","MassUnit","Alive","Recapture","InitialRelease","Sex","Interorbital","InsideMouth","OutsideMouth","DorsalScore","CaudalScore","FinClipObs","Surgeon","VIE","DevelopmentalStage","StockingMark1","StockingMark2","FinClip","ScaleSample","SensorType","SensorIDCode","SensorCodeSpace","System","Notes"
"70","SNS-2011-017","SNS","1268220","Acoustic","Wild","FLOY: 53306; Genetic ID: G-733; Photo ID: 17-041;","Sturgeon-PNR","Penobscot River",2017-08-01,"Penobscot",514486,4948140,87,102,"cm",6.5,"kg",1,1,0,"EF",62,44,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"71","SNS-2011-022","SNS","1268221","Acoustic","Wild","FLOY: 53325; Genetic ID: G-732; Photo ID: 17-107;","Sturgeon-PNR","Penobscot River",2017-09-12,"Penobscot",512847,4949674,96,104,"cm",9,"kg",1,1,0,"LF",73,55,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"72","SNS-2011-022","SNS","1268221","Acoustic","Wild","FLOY: 53325; Genetic ID: G-732; Photo ID: 17-107;","Sturgeon-PNR","Penobscot River",2017-10-09,"Penobscot",514503,4948144,94,102,"cm",8.7,"kg",1,1,0,"U",74,58,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"73","SNS-2011-040","SNS","1221721","Acoustic","Wild","FLOY: 102763; Genetic ID: G-744; Photo ID: 15-070;","Sturgeon-PNR","Penobscot River",2015-09-03,"Penobscot River",517253,4958195,97,108,"cm",10,"kg",1,1,0,"LF",73,59,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"74","SNS-2011-089","SNS","1147461","Acoustic","Wild","FLOY: 101191; Genetic ID: G-789; Photo ID: 12-136;","Sturgeon-PNR","Penobscot River",2016-07-13,"Penobscot River",514796,4946972,89,104,"cm",7.2,"kg",1,1,0,"EF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"75","SNS-2011-089","SNS","1147461","Acoustic","Wild","FLOY: 101191; Genetic ID: G-789; Photo ID: 12-136;","Sturgeon-PNR","Penobscot River",2019-11-26,"Penobscot",516906,4957934,90,106,"cm",5.9,"kg",1,1,0,"EF",73,43,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"76","SNS-2011-164","SNS","A69-2801-201247","Acoustic","Wild","FLOY: 102374; Genetic ID: G-847; Photo ID: 15-162;","Sturgeon-PNR","Penobscot River",2015-10-09,"Penobscot River",520289,4961984,85,99,"cm",4.35,"kg",1,1,0,"",63,42,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"77","SNS-2011-164","SNS","A69-2801-201247","Acoustic","Wild","FLOY: 102374; Genetic ID: G-847; Photo ID: 15-162;","Sturgeon-PNR","Penobscot River",2016-08-29,"Penobscot River",512940,4951490,88,102,"cm",5.4,"kg",1,1,0,"EF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"78","SNS-2011-164","SNS","A69-2801-201247","Acoustic","Wild","FLOY: 102374; Genetic ID: G-847; Photo ID: 15-162;","Sturgeon-PNR","Penobscot River",2025-08-05,"The Spindle",514494,4948116,90,104,"cm",NA,"g",1,1,0,"UNK",68,39,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"79","SNS-2012-007","SNS","A69-2801-201232","Acoustic","Wild","FLOY: 101239; Genetic ID: G-889; Photo ID: 12-034;","Sturgeon-PNR","Penobscot River",2025-08-05,"The Spindle",514494,4948116,89,100,"cm",NA,"g",1,1,0,"UNK",67,38,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
