"Event","Species","Rearing_Origin","Stage","System","Encounter_Time_zone","Encounter_Timestamp","Encounter_Location","Encounter_Easting","Encounter_Northing","Encounter_UTMZone","Encounter_Disposition","Release_Status","Release_Timezone","Release_Timestamp","Release_Location","Release_Easting","Release_Northing","TagType","TagManufacturer","TagModel","TagSerialNumber","EstTagLife","Acoustic_ID","Acoustic_Sensor_type","Acoustic_.Sensor_idcode","Acoustic_Sensor_value","PIT_ID","Radio_ID","Radio_Freq","Radio_BurstRate","External_TagID","Mark.Observed","Mark.Applied","VIE","ForkLength..cm.","TotalLength..cm.","Mass..g.","Sex","STRG_Interorbital.mm.","STRG_InsideMouth.mm.","STRG_OutsideMouth.mm.","Notes","Operator.s."
"Recapture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"PIT",,,,,,,,,"3D9.257C65BA2C",,,,,"None","None","None",197,225,,,,74.5,102.6,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"PIT",,,,,,,,,"3DD.003E185F77",,,,,"None","None","None",156.3,177.9,,,127.37,56.91,89.37,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"PIT",,,,,,,,,"3DD.003E185F76",,,,,"None","None","None",134,149.5,,,110.5,48.8,75.1,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"PIT",,,,,,,,,"3DD.003E185F92",,,,,"None","None","None",149.3,173.1,,,127.6,46.98,71.95,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"PIT",,,,,,,,,"3DD.003E185F95",,,,,"None","None","None",147,170,,"M",117.37,50.15,71.64,"Milt","JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"PIT",,,,,,,,,"3DD.003E185F86",,,,,"None","None","None",143.4,166,,"M",117.2,55.6,71.2,"Milt","JZ,SE"
"Intial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"19","Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"PIT",,,,,,,,,"3DD.003E185F7F",,,,,"None","None","None",73.1,88.2,,,54,36,41,,"JZ,SE"
"Intial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"19","Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"PIT",,,,,,,,,"3DD.003E185F94",,,,,"None","None","None",68.9,82.8,,,57,38,46,,"JZ,SE"
"Intial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"19","Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"PIT",,,,,,,,,"3DD.003E185F74",,,,,"None","None","None",65.6,76.6,,,51,40,47,,"JZ,SE"
"Intial capture","SNS","Wild",,"Kennebec","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"19","Live","Yes","Eastern","08/04/2025 00:00","Hallowell",437291,4902372,"PIT",,,,,,,,,"3DD.003E185F91",,,,,"None","None","None",75.8,86.2,,,59,46,54,"NO RIGHT PEC","JZ,SE"
